league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,rate,avg_point,correct_score,"fixtures_link, league_slug"
KZ2,Shymkent vs Bars Petropavlovsk,1,,06:00,81 - 65,15-12-2025,Kazakhstan - kz,N/A,azxjjefo156876707,fb_basketball,54 - 46,151.2,81 - 65,https://www.forebet.com/en/basketball/matches/higher-league/shymkent-bars-petropavlovsk/259533,higher-league
KZ2,Turan vs Tigers-KazATU,1,,08:00,83 - 60,15-12-2025,Kazakhstan - kz,N/A,capvdpuz232736558,fb_basketball,86 - 14,144.9,83 - 60,https://www.forebet.com/en/basketball/matches/higher-league/turan-tigers-kazatu/259534,higher-league
SAG,Indonesia vs Singapore,1,,08:00,87 - 83,15-12-2025, - 93,N/A,humroycw297522224,fb_basketball,57 - 43,159.8,87 - 83,https://www.forebet.com/en/basketball/matches/southeast-asian-games/indonesia-singapore/262195,southeast-asian-games
KBL,KoGas vs Mobis Phoebus,2,,11:00,80 - 59,15-12-2025,"Korea, Republic of - kr",N/A,lniekywo26758203,fb_basketball,43 - 57,155.6,80 - 59,https://www.forebet.com/en/basketball/matches/kbl-south-korea/kogas-mobis-phoebus/246326,kbl-south-korea
UWS,Budivelnyk W vs Frankivsk-Prykarpattia W,1,,11:00,73 - 59,15-12-2025,Ukraine - ua,N/A,hchmzcwr185059923,fb_basketball,77 - 23,132.9,73 - 59,https://www.forebet.com/en/basketball/matches/superleague-w/budivelnyk-w-frankivsk-prykarpattia-w/253225,superleague-w
KRW,KB Stars W vs Samsung Blue Minx W,1,,11:00,60 - 58,15-12-2025,"Korea, Republic of - kr",N/A,zdqteuop17177130,fb_basketball,54 - 45,122.3,60 - 58,https://www.forebet.com/en/basketball/matches/wkbl-w/kb-stars-w-samsung-blue-minx-w/258981,wkbl-w
Jp2,Kobe vs Shizuoka,1,,11:05,77 - 74,15-12-2025,Japan - jp,N/A,tsncgcjz286249561,fb_basketball,72 - 28,154.9,77 - 74,https://www.forebet.com/en/basketball/matches/b2-league/kobe-shizuoka/244148,b2-league
KZ2,Atyrau 2 vs Pavlodar,1,,12:00,96 - 55,15-12-2025,Kazakhstan - kz,N/A,pnpugzcg331000019,fb_basketball,86 - 14,153.1,96 - 55,https://www.forebet.com/en/basketball/matches/higher-league/atyrau-2-pavlodar/259536,higher-league
CNW,Fujian W vs Ganzhou W,2,,12:30,85 - 76,15-12-2025,China - cn,N/A,pyvllzgz138344672,fb_basketball,48 - 52,165.2,85 - 76,https://www.forebet.com/en/basketball/matches/wcba-women/fujian-w-ganzhou-w/261958,wcba-women
CNW,Liaoning W vs Henan W,1,,12:30,78 - 76,15-12-2025,China - cn,N/A,gsxstohs254535092,fb_basketball,69 - 31,155.1,78 - 76,https://www.forebet.com/en/basketball/matches/wcba-women/liaoning-w-henan-w/261959,wcba-women
NLB,Academic Plovdiv vs Levski,1,,13:00,86 - 80,15-12-2025,Bulgaria - bg,N/A,mzscuivj268204983,fb_basketball,71 - 29,165.9,86 - 80,https://www.forebet.com/en/basketball/matches/nbl-bulgaria/academic-plovdiv-levski/249608,nbl-bulgaria
SAG,Thailand vs Myanmar,1,,13:00,87 - 69,15-12-2025, - 93,N/A,nfckzfnb99595756,fb_basketball,68 - 32,132.6,87 - 69,https://www.forebet.com/en/basketball/matches/southeast-asian-games/thailand-myanmar/262196,southeast-asian-games
IR1,Esteghlal BC vs Kalleh,1,,13:30,82 - 77,15-12-2025,"Iran, Islamic Republic of - ir",N/A,trlookgj331098271,fb_basketball,55 - 45,157.4,82 - 77,https://www.forebet.com/en/basketball/matches/super-league-ir/esteghlal-bc-kalleh/262469,super-league-ir
UWS,Kyiv Basket W vs Odessa W,2,,14:00,69 - 70,15-12-2025,Ukraine - ua,N/A,gamnjzxt255739285,fb_basketball,27 - 73,126.2,69 - 70,https://www.forebet.com/en/basketball/matches/superleague-w/kyiv-basket-w-odessa-w/253226,superleague-w
NLK,Astana vs Tobol Kostanay,1,,14:00,84 - 70,15-12-2025,Kazakhstan - kz,N/A,tvqfycnx28087434,fb_basketball,70 - 30,155.4,84 - 70,https://www.forebet.com/en/basketball/matches/national-league-kazakhstan/astana-tobol-kostanay/255411,national-league-kazakhstan
IR1,Petro Novin Mahshahr vs Raad Padafan Isfahan,2,,14:30,81 - 65,15-12-2025,"Iran, Islamic Republic of - ir",N/A,izxrgbbi175426068,fb_basketball,46 - 54,155.9,81 - 65,https://www.forebet.com/en/basketball/matches/super-league-ir/petro-novin-mahshahr-raad-padafan-isfahan/262472,super-league-ir
TLW,Mersin W vs Emlak Konut Gelisim 2 W,1,,16:00,72 - 65,15-12-2025,Turkey - tr,N/A,uwtnigzq246213007,fb_basketball,64 - 35,142.2,72 - 65,https://www.forebet.com/en/basketball/matches/tkbl-women/mersin-w-emlak-konut-gelisim-2-w/239342,tkbl-women
LWM,Klaipedos Neptunas W vs Aistes LSU Kaunas W,1,,16:00,84 - 65,15-12-2025, - lt,N/A,tooftvxu331100149,fb_basketball,81 - 19,146.4,84 - 65,https://www.forebet.com/en/basketball/matches/moteru-lyga-w/klaipedos-neptunas-w-aistes-lsu-kaunas-w/262149,moteru-lyga-w
ILW,Hapoel Jerusalem W vs Maccabi Ashdod W,2,,16:30,71 - 80,15-12-2025,Israel - il,N/A,oxmkzfku327975032,fb_basketball,43 - 57,144.7,71 - 80,https://www.forebet.com/en/basketball/matches/wbl-women-il/hapoel-jerusalem-w-maccabi-ashdod-w/252339,wbl-women-il
SLT,Buyukcekmece vs Pinar Karsiyaka,1,,17:00,85 - 80,15-12-2025,Turkey - tr,N/A,mdtjsrch268427197,fb_basketball,65 - 35,168.4,85 - 80,https://www.forebet.com/en/basketball/matches/super-lig/buyukcekmece-pinar-karsiyaka/239780,super-lig
RU2,CSKA Moscow 2 vs Zenit Petersburg 2,1,,17:00,85 - 78,15-12-2025,Russia - ru,N/A,smarxmzw208582245,fb_basketball,62 - 38,162.2,85 - 78,https://www.forebet.com/en/basketball/matches/super-league-ru/cska-moscow-2-zenit-petersburg-2/244462,super-league-ru
RU2,Tambov vs Dynamo Grozny,2,,17:00,77 - 83,15-12-2025,Russia - ru,N/A,gvmlnjdq192568932,fb_basketball,40 - 60,151.1,77 - 83,https://www.forebet.com/en/basketball/matches/super-league-ru/tambov-dynamo-grozny/244463,super-league-ru
LT2,Zalgiris Kaunas 2 vs Vytis VDU,1,,17:00,89 - 83,15-12-2025, - lt,N/A,egvgygjl82244261,fb_basketball,51 - 49,174.4,89 - 83,https://www.forebet.com/en/basketball/matches/nkl/zalgiris-kaunas-2-vytis-vdu/244758,nkl
RW2,Dynamo Kursk W vs Enisey Krasnoyarsk W,1,,17:00,80 - 57,15-12-2025,Russia - ru,N/A,falrrfjn76228911,fb_basketball,68 - 32,138,80 - 57,https://www.forebet.com/en/basketball/matches/superleague-a-w/dynamo-kursk-w-enisey-krasnoyarsk-w/262153,superleague-a-w
NCAW,Georgia W vs N. Carolina A&T W,1,,17:00,77 - 60,15-12-2025,United States - us,N/A,ubawfmyy46731451,fb_basketball,65 - 35,133.5,77 - 60,https://www.forebet.com/en/basketball/matches/ncaa-women/georgia-w-n-carolina-at-w/262161,ncaa-women
NCAW,Kent State W vs Davis & Elkins W,1,,17:00,84 - 42,15-12-2025,United States - us,N/A,etxplxpx300719922,fb_basketball,82 - 18,127.5,84 - 42,https://www.forebet.com/en/basketball/matches/ncaa-women/kent-state-w-davis--elkins-w/262162,ncaa-women
DEA,Trikala vs Proteas Voulas,2,,17:30,80 - 74,15-12-2025,Greece - gr,N/A,azirpahp189690735,fb_basketball,38 - 62,157.8,80 - 74,https://www.forebet.com/en/basketball/matches/a2/trikala-proteas-voulas/248112,a2
DEA,NE Megaridas vs Lavrio,1,,17:30,94 - 74,15-12-2025,Greece - gr,N/A,wwgktujy264972285,fb_basketball,73 - 27,168.2,94 - 74,https://www.forebet.com/en/basketball/matches/a2/ne-megaridas-lavrio/248113,a2
NCAW,East Texas A&M Lions W vs Texas Southern W,1,,17:30,107 - 35,15-12-2025,United States - us,N/A,zlhhgdqy319271551,fb_basketball,78 - 22,142.3,107 - 35,https://www.forebet.com/en/basketball/matches/ncaa-women/east-texas-am-lions-w-texas-southern-w/262163,ncaa-women
SIS,Maccabi Rishon vs Nes Ziona,2,,17:35,89 - 76,15-12-2025,Israel - il,N/A,qhcwqjum190307952,fb_basketball,47 - 53,174.7,89 - 76,https://www.forebet.com/en/basketball/matches/super-league-israel/maccabi-rishon-nes-ziona/252012,super-league-israel
HR2,Novi Zagreb vs Jazine,1,,18:00,79 - 76,15-12-2025,Croatia - hr,N/A,ekzftqqg207098286,fb_basketball,54 - 46,156.5,79 - 76,https://www.forebet.com/en/basketball/matches/prva-liga-hr/novi-zagreb-jazine/251273,prva-liga-hr
ILW,Maccabi Haifa W vs Hapoel Rishon LeZion W,2,,18:00,72 - 66,15-12-2025,Israel - il,N/A,bguavcat195042677,fb_basketball,36 - 64,142.4,72 - 66,https://www.forebet.com/en/basketball/matches/wbl-women-il/maccabi-haifa-w-hapoel-rishon-lezion-w/252340,wbl-women-il
ILW,Maccabi Karmiel W vs Hapoel Beer Sheva W,1,,18:00,90 - 66,15-12-2025,Israel - il,N/A,fodxjnwh134214124,fb_basketball,77 - 23,152.5,90 - 66,https://www.forebet.com/en/basketball/matches/wbl-women-il/maccabi-karmiel-w-hapoel-beer-sheva-w/252342,wbl-women-il
NCAW,Loyola Chicago W vs Oakland W,2,,18:00,68 - 65,15-12-2025,United States - us,N/A,lewcuejm223474421,fb_basketball,48 - 52,128.9,68 - 65,https://www.forebet.com/en/basketball/matches/ncaa-women/loyola-chicago-w-oakland-w/262164,ncaa-women
NCAW,Murray State W vs Memphis Tigers W,1,,18:00,76 - 65,15-12-2025,United States - us,N/A,cclmsosu147995440,fb_basketball,85 - 15,148.6,76 - 65,https://www.forebet.com/en/basketball/matches/ncaa-women/murray-state-w-memphis-tigers-w/262165,ncaa-women
NCAW,UTSA Roadrunners W vs Texas A&M-Kingsville W,1,,18:00,75 - 53,15-12-2025,United States - us,N/A,yufixnto199145162,fb_basketball,80 - 20,94.6,75 - 53,https://www.forebet.com/en/basketball/matches/ncaa-women/utsa-roadrunners-w-texas-am-kingsville-w/262166,ncaa-women
NLB,Lok. Plovdiv vs Minyor,1,,18:15,94 - 80,15-12-2025,Bulgaria - bg,N/A,lgcjghbk107570596,fb_basketball,77 - 23,174.3,94 - 80,https://www.forebet.com/en/basketball/matches/nbl-bulgaria/lok-plovdiv-minyor/249612,nbl-bulgaria
RSW,Novosadska Novi Sad W vs Mega MIS W,2,,18:30,76 - 87,15-12-2025,Serbia - rs,N/A,zfhcdttc215555744,fb_basketball,28 - 72,141.7,76 - 87,https://www.forebet.com/en/basketball/matches/1-zls-women/novosadska-novi-sad-w-mega-mis-w/258219,1-zls-women
PL2,R. Rzeszow vs Zubry Bialystok,1,,19:00,94 - 87,15-12-2025,Poland - pl,N/A,iiwivmzs215050225,fb_basketball,73 - 27,172.7,94 - 87,https://www.forebet.com/en/basketball/matches/1-liga-pl/r-rzeszow-zubry-bialystok/237584,1-liga-pl
PL2,Starogard Gdanski vs Poli. Opolska,1,,19:00,96 - 78,15-12-2025,Poland - pl,N/A,wogrxprc251796300,fb_basketball,76 - 24,169.7,96 - 78,https://www.forebet.com/en/basketball/matches/1-liga-pl/starogard-gdanski-poli-opolska/237585,1-liga-pl
KOW,Trepca W vs Bashkimi W,2,,19:00,89 - 85,15-12-2025, - xk,N/A,rlcrmxlx5369118,fb_basketball,6 - 94,145.7,89 - 85,https://www.forebet.com/en/basketball/matches/superliga-women-ko/trepca-w-bashkimi-w/261009,superliga-women-ko
RS2,OKK Beograd vs BKK Radnicki,1,,19:00,95 - 85,15-12-2025,Serbia - rs,N/A,pqehcomq80048817,fb_basketball,65 - 35,181.2,95 - 85,https://www.forebet.com/en/basketball/matches/first-league/okk-beograd-bkk-radnicki/261676,first-league
NCAA,Samford vs Bryan,1,,19:00,101 - 57,15-12-2025,United States - us,N/A,uyzypzhu71271796,fb_basketball,82 - 18,155.7,101 - 57,https://www.forebet.com/en/basketball/matches/ncaa/samford-bryan/262155,ncaa
